Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Type,Individuals Affected,Name of Entity,Type of Breach,State Reported
Name or other personal identifier in combination with SSN,2018-06-06 00:00:00,,2018-04-25 00:00:00,,128(in Maine,"Bath Housing Authority, 80 Congress Avenue, Bath, ME 04530",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-06-04 00:00:00,,3/15/18-5/11/18,,32(in Maine,"PLAE INC, 220 Montgomery St., Suite 860, San Francisco, CA 94104",,Maine
Name or other personal identifier in combination with SSN.,2018-06-04 00:00:00,,2018-01-17 00:00:00,,13(in Maine,"Humana Inc, 500 W Main Street, Louisville, KY 40202",,Maine
"Credit or debit card number, PIN if used, and name",2018-06-01 00:00:00,,Discovered 4/17/18 (possibly began 12/20/17),,Not specified(in Maine,Walgreen Company,,Maine
"Name, address birthdate & SSN",2018-06-01 00:00:00,,"9/9/17 - 1/24/18 (discovered May 22, 2018)",,3(in Maine,Stein Eriksen Lodge Hotel,,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-31 00:00:00,,2/9/18 (discovered 3/30/18),,14(in Maine,"Temecula Motorsports, Inc., 26860 Jefferson Ave., Murrieta, CA 92562",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-30 00:00:00,,6/15/17-2/16/18,,11(in Maine,"Rail Europe SAS, Les Collines de l'Arche, Immeuble Concorde B, 76 route de la Demi-Lune, Puteaux, France 92800",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-30 00:00:00,,10/26/17-4/12/18,,1(in Maine,"Chattanooga Clothing Company, 1500 Chestnut St., Suite D, Chattanooga, TN 37408",,Maine
"Name or other personal identifier in combination with SSN and Driver's license #, or non-driver ID card number ",2018-05-30 00:00:00,,Unknown (discovered 2/15/18),,6(in Maine,"St. Mary's Health, Inc., dba St. Vincent Evansville, 3700 Washington Ave., Evansville, IN 47714",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-29 00:00:00,,2018-04-18 00:00:00,,5(in Maine,"Uno Alla Volta, LLC, 242 Branford Road, North Branford, CT 06471",,Maine
Customer account logon and payment card information,2018-05-29 00:00:00,,1/2018 through 5/9/18,,10(in Maine,"PrintingCenterUSA.com, 117 9th Street, N., Great Falls, MT 59401",,Maine
Name and SSN,2018-05-25 00:00:00,,11/13-14/17,,7(in Maine,SEIULocal 32BJ - Incident Notification,,Maine
Name and personal identifier in combination with SSN,2018-05-25 00:00:00,,2018-01-26 00:00:00,,4(in Maine,"Member Business Services, LLC dba Commercial Alliance, 1607 E. Big Beaver, Suite 201, Troy, MI 48084",,Maine
"Name or other personal identifier in combination with Driver's license #, or non-driver ID card number ",2018-05-25 00:00:00,,2/26/2018 (discovered 5/3/18),,3(in Maine,"Pendleton Square Trust Company, 3803 Bedford Ave., Suite 105, Nashville, TN 37215",,Maine
Name or other personal identifier in combination with SSN,2018-05-24 00:00:00,,2018-04-19 00:00:00,,11(in Maine,"Jarrett & Luitjens, PLC, 1795 Williston Road, Suite 125, South Burlington, VT 05403",,Maine
"Name or other personal identifier in combination with Driver's license #, or non-driver ID card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-24 00:00:00,,9/7/17-3/22/18 (discovered 5/10/18),,1(in Maine,"Luxury Retreats, 5530 St. Patrick Street, Suite 2210, Montreal, Quebec, Canada H4E1A8",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-23 00:00:00,,10/1/17-12/22/17,,12(in Maine,"National Railroad Passenger Corporation (Amtrak), 1 Massachusetts Avenue, N.W., Suitge 635, Washington, DC 20001",,Maine
Name or other personal identifier in combination with SSN,2018-05-22 00:00:00,,2018-03-07 00:00:00,,2(in Maine,"Employee Benefits Corporation o/b/o InterVarsity Christian Fellowship/USA, 1350 Deming Way, Suite 300, Middleton, WI 53562",,Maine
Name or other personal identifier in combination with SSN,2018-05-21 00:00:00,,3/20/18-3/27/18 (discovered 4/19/18),,1(in Maine,"Pinnacle Advisory Group Inc., 6345 Woodside Court, Suite 100, Columbia, MD 21046",,Maine
"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-21 00:00:00,,7/26/15 (discovered 4/13/18,,1(in Maine,"Stephen J Flood CPA, PLLC, 950 New Loudon Road #107, Latham, NY 12110",,Maine
"Payment card information including credit or debit card numbers and cardholder names, and potentially expiration dates and CVV codes",2018-05-18 00:00:00,,March - April 2018 (discovered 5/11/18) ,,Currently unknown (still investigating)(in Maine,Brinker International,,Maine
Name or other personal identifier in combination  with SSN,2018-05-17 00:00:00,,11/25/17 (discovered 4/5/18),,48(in Maine,"Corporation Service Co., 251 Little Falls Drive, Wilmington, DE 19808",,Maine
"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-16 00:00:00,,On or before 4/16/18 (discovered 4/16/18),,1(in Maine,"Intuit Inc, 2535 Garcia Avenue, Mountain View, CA 94043",,Maine
Discover card account information may have been compromised.,2018-05-16 00:00:00,,2018-04-01 00:00:00,,10(in Maine,Rainbow Resource Center,,Maine
Discover card account information may have been compromised.,2018-05-16 00:00:00,,2018-04-01 00:00:00,,1(in Maine,Pizzahut.com,,Maine
Discover card account information may have been compromised.,2018-05-16 00:00:00,,2018-04-01 00:00:00,,1(in Maine,Ladder 15,,Maine
Discover card account information may have been compromised.,2018-05-16 00:00:00,,2018-04-01 00:00:00,,3(in Maine,The Beauty Place Inc,,Maine
Name or other personal identifier in combination with SSN,2018-05-16 00:00:00,,1/10/2018 (discovered 1/16/18),,989(in Maine,"Cable Hill Partners LLC, 806 SW Broadway, Suite 1000, Portland, OR 97205",,Maine
"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-14 00:00:00,,2018-04-11 00:00:00,,6361(in Maine,"Task Rabbit Inc., 425 Second Street, 5th Floor, San Francisco, CA 94107",,Maine
Name or other personal identifier in combination with SSN,2018-05-13 00:00:00,,"Feb 9-26, 2018",,1(in Maine,"SP Industries Inc, 935 Mearns Road, Warminster, PA 18974",,Maine
Name or other personal identifier in combination with SSN,2018-05-08 00:00:00,,12/31/17-1/31/18 (discovered 3/21/18),,371(in Maine,"Global University, 1211 S. Glenstone Ave., Springfield, MO 65804",,Maine
"Name or other identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-08 00:00:00,,9/27/17-10/12/17 (discovered 3/26/18),,511(in Maine,"Sears Holdings Management Corporation, 3333 Beverly Road, Hoffman Estates, IL 60179",,Maine
"Name, SSN, address, birthdate, medications, care provider, medical history and other health information.",2018-05-08 00:00:00,,Discovered 2/1/18,,5(in Maine,"Integrated Practice Solutions, Inc., 9265 Sky Park CT STE 200, San Diego, CA 92123",,Maine
Name or other personal identifier in combination with SSN,2018-05-08 00:00:00,,2018-04-25 00:00:00,,1(in Maine,"DigiPen Institute of Technology, 9931 Willows Road NE, Redmond, WA 98052",,Maine
"Name, email address, physical address and order info including items ordered (including medication name); and obscured credit card numbers (only last four digits were readable);",2018-05-04 00:00:00,,2017-12-01 00:00:00,,1(in Maine,"Rx Valet, LLC, 1580 Atkinson Road, Lawrenceville, Geoargia 30043",,Maine
"Name, birthdate, phone number email address, physical/billing address, gender and credit card information ",2018-05-02 00:00:00,,3/8/2018 (Discovered 4/18/18),,1(in Maine,"Ramy Brook LLC, 231 W. 39th Street, Suite 720, NY, NY 10018",,Maine
"Name, address, SSN and, in certain circumstances, medical/ health insurance info and/or bank/brokerage account information.",2018-05-02 00:00:00,,6/15/17 - 4/6/18 (Discovered 4/6/18),,1(in Maine,Bennett & Thrasher,,Maine
"Name, address, phone number, age (but not date of birth), certain account balances and in some instances, email address",2018-05-02 00:00:00,,Discovered in Mid-April,,123(in Maine,"SunTrust Banks, Inc.",,Maine
"Name or other personal identifier in combination with SSN, ",2018-04-30 00:00:00,,9/2/17 to 10/2/17,,1(in Maine,"The National Restaurant Association, 2055 L Street, NW, Suite 700, Washington, DC 20036",,Maine
"Name, address and payment card information (card#, security code & exp. date)",2018-04-30 00:00:00,,Discovered on 3/18/18,,4(in Maine,Malley's Chocolates,,Maine
"Name, address, SSN",2018-04-27 00:00:00,,12/2/17-12/8/17,,1(in Maine,McMahon Thompson & Associates,,Maine
Name or other personal identifier in combination with SSN,2018-04-27 00:00:00,,10/20/17-12/15/17 (discovered 3/1/18),,3(in Maine,"MedWatch, LLC, 120 International Parkway, Suite 216, Lake Mary, FL 32746",,Maine
Name or other personal identifier in combination with SSN,4/27/2018 Supplement Notice,,11/22/17 to 12/8/17 (Discovered 3/22/18),,627(in Maine,"CPT Group Inc., 50 Corporate Drive, Irvine, CA 92606",,Maine
Name or other personal identifier in combination with SSN,2018-04-27 00:00:00,,11/22/17 to 12/8/17 (Discovered 3/22/18),,4(in Maine,"CPT Group Inc., 50 Corporate Drive, Irvine, CA 92606",,Maine
"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-04-27 00:00:00,,11/29/17 to 2/16/18,,70(in Maine,"Rail Europe North America, Inc., 333 Westchester Ave., 2nd Floor, West Building, SuiteW2200, White Plains, NY 10604",,Maine
Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number and account number,2018-04-26 00:00:00,,11/8/17 (discovered 2/9/18),,61(in Maine,"Cetera Advisors, LLC, 4600 South Syracuse Street, Suite 600, Denver, CO 80237",,Maine
Name or other personal identifier in combination with SSN,2018-04-26 00:00:00,,"Unknown, discovered 1/10/18",,1(in Maine,"Carolina Digestive Health Associates, PA, 11301 Carmel Commons Boulevard, Suite 302, Charlotte, NC 28226",,Maine
Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,2018-04-26 00:00:00,,One or before 4/3/18,,2(in Maine,"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA 94043",,Maine
"Name, address, phone number, email address, birthdate and possible health information",2018-04-23 00:00:00,,Discovered 2/23/18,,5(in Maine,"Capital Digestive Care (""CDC""), Silver Spring, Maryland",,Maine
Not specified - Unauthorized login to web-based account,2018-04-23 00:00:00,,2018-02-20 00:00:00,,16(in Maine,"CNU of Maine, LLC and its affiliates, collectively d/b/a CashNetUSA, 175 W. Jackson Blvd., Suite 1000, Chicago, IL  60604",,Maine
"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-04-20 00:00:00,,10/1/17 - 12/22/17 (Discovered 3/22/18),,55(in Maine,"Southwest Airlines Co., 2702 Love Field Drive, Dallas, Texas 75235",,Maine
Not specified (Breach of a 3rd party vendor),2018-04-20 00:00:00,,9/26/17-10/12/17 (Discovered 4/10/18),,110(in Maine,"W.W. Grainger, Inc., 100 Grainger Parkway, Lake Forest, IL 60045",,Maine
Name or other personal identifier in combination with SSN,2018-04-20 00:00:00,,2017-10-15 00:00:00,,4(in Maine,"American Esoteric Laboratories, 1701 Century Center Cove, Memphis, TN 38134",,Maine
Bank account number and routing number,2018-04-19 00:00:00,,4/20/15-1/16/18 (discovered 11/23/17),,2(in Maine,"Strategic Analysis, Inc., 4075 Wilson Blvd, Suite 200, Arlington, VA 22203",,Maine
Name and SSN,2018-04-19 00:00:00,,2018-03-06 00:00:00,,2(in Maine,"Tech Needs North, Inc.",,Maine
"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-04-18 00:00:00,,"3/9/18, 3/22/18",,4(in Maine,"Eastern Bank, 265 Franklin Street, Boston, MA 02110",,Maine
Not speified,2018-04-17 00:00:00,,2018-01-02 00:00:00,,1(in Maine,Bank of America,,Maine
Not specified,2018-04-17 00:00:00,,Notified on 3/2/18,,1(in Maine,Bank of America (Dunn & Bradstreet breach),,Maine
"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-04-16 00:00:00,,8/1/17-12/1/17 ,,28(in Maine,"Temp-Tations Home LLC d/b/a ""Tara at Home"", 180 Gordon Drive, Suite 103, Exton, PA 19341",,Maine
